genes,symbol,average_foldchange,DLBC,LUAD,BRCA,ACC,SARC,CESC,LIHC,KIRC,PCPG,BLCA,READ,UCEC,LUSC,UCS,KICH,OV,THCA,KIRP,UVM,HNSC,Description,Protein Functions (ChatGPT),Disease & Drugs (ChatGPT),Biological Process (GO),Kinase Class (UniProt),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Drug (DrugBank),"Canonical Pathways
","Hallmark Gene Sets
"
ENSG00000088356.6,PDRG1,0.590562044,0.891531845,1.062048891,0.579204856,1.14707738,0.430547231,0.423413902,0.598971699,0.89751922,0.319375378,0.871838003,0.822052424,0.859579164,0.375883503,0.339587647,0.504942664,0.84680422,0.138622476,0.46629497,0.114270001,0.121675395,p53 and DNA damage regulated 1,PDRG1 is a human gene that is regulated by p53 and DNA damage. It is predicted to have unfolded protein binding activity and be involved in protein folding. The gene is predicted to be located in the cytoplasm and be part of the prefoldin complex.,"There is limited information available on the disease implications of PDRG1. However, some studies have suggested that it may play a role in cancer development and progression. For example, one study found that PDRG1 expression was significantly upregulated in breast cancer tissues compared to normal tissues, and that higher expression levels were associated with poorer prognosis. 

As for targeted drug discovery efforts, there are currently no known drugs that specifically target PDRG1. However, given its potential role in cancer, it is possible that future drug development efforts may focus on targeting this gene or its associated pathways. 

Overall, there are no successful drugs on the market that target PDRG1 specifically. However, there are several drugs that target other genes and pathways involved in cancer development and progression, such as chemotherapy drugs and targeted therapies like Herceptin and Tamoxifen.",GO:0006457 protein folding;GO:0050821 protein stabilization;GO:0031647 regulation of protein stability,,Predicted intracellular proteins,Actin filaments (Approved),,,
ENSG00000104904.12,OAZ1,0.591322204,1.581544015,0.703742004,0.689759892,0.722995476,0.857009541,0.994880062,0.637453552,0.827088185,0.404730069,0.17734356,0.629746651,0.289815481,0.855822616,0.613820852,0.524763001,0.017387677,0.53898178,0.391522528,0.232805188,0.13523195,ornithine decarboxylase antizyme 1,"OAZ1 is a gene that belongs to the ornithine decarboxylase antizyme family and plays a crucial role in regulating intracellular polyamine levels, which are essential for cell growth and proliferation. Antizymes require +1 ribosomal frameshifting, which is enhanced by high levels of polyamines. Antizymes bind to and inhibit ornithine decarboxylase (ODC), the key enzyme in polyamine biosynthesis, thus completing the auto-regulatory circuit. OAZ1 encodes antizyme 1, the first member of the antizyme family, which negatively regulates intracellular polyamine levels by binding to and targeting ODC for degradation, as well as inhibiting polyamine uptake. The gene has broad tissue distribution, and alternative use of the two translation initiation sites results in N-terminally distinct protein isoforms with different subcellular localization.","Research has shown that dysregulation of OAZ1 expression and polyamine metabolism is associated with various diseases, including cancer, neurodegenerative disorders, and inflammation. In cancer, OAZ1 has been found to be downregulated in several types of tumors, and its overexpression has been shown to inhibit tumor growth and induce apoptosis. Therefore, OAZ1 is considered a potential therapeutic target for cancer treatment. Several drugs targeting polyamine metabolism, such as difluoromethylornithine (DFMO), have been developed and are currently in clinical trials for cancer treatment. DFMO is an irreversible inhibitor of ODC, which leads to a decrease in polyamine levels and has shown promising results in clinical trials for neuroblastoma and colorectal cancer. Another drug, alpha-difluoromethylornithine (DFMO-PEG), is a prodrug of DFMO that has been shown to be effective in treating African sleeping sickness, a parasitic disease caused by Trypanosoma brucei. Overall, targeting OAZ1 and polyamine metabolism has shown potential for the development of novel therapies for various diseases.",GO:0006596 polyamine biosynthetic process;GO:0006595 polyamine metabolic process;GO:0075523 viral translational frameshifting,,Predicted intracellular proteins,Vesicles (Approved); Additional: Centriolar satellite,Ornithine,(M242)PID AURORA A PATHWAY,
ENSG00000130724.9,CHMP2A,0.593652542,1.413081528,0.659122659,0.343744472,1.13476254,0.985382543,0.995599362,0.745494015,0.706229159,0.80078812,0.511428546,0.13794834,0.40699148,0.435433648,0.127716133,0.251179896,0.215334916,0.603742144,0.432068204,0.536773233,0.430229896,charged multivesicular body protein 2A,CHMP2A is a gene that belongs to the CHMP family of chromatin-modifying proteins. These proteins are involved in the degradation of surface receptor proteins and the formation of endocytic multivesicular bodies (MVBs) as part of the ESCRT-III complex. CHMP2A has both nuclear and cytoplasmic/vesicular distributions and is involved in the regulation of cell cycle progression. Dysfunction of CHMP2A has been linked to neurodegenerative diseases such as Alzheimer's and frontotemporal dementia.,"Dysfunction of CHMP2A has been linked to neurodegenerative diseases such as Alzheimer's and frontotemporal dementia. Targeted drug discovery efforts for these diseases have focused on modulating the activity of the ESCRT-III complex, of which CHMP2A is a part. One approach has been to develop small molecule inhibitors of the VPS4 ATPase, which is required for ESCRT-III disassembly. Several compounds have been identified that inhibit VPS4 activity and show promise in preclinical studies. However, no drugs targeting CHMP2A specifically have been approved for clinical use. Examples of successful drugs on the market for Alzheimer's disease include cholinesterase inhibitors such as donepezil and memantine, which target neurotransmitter systems involved in memory and cognition.",GO:1903723 negative regulation of centriole elongation;GO:1903722 regulation of centriole elongation;GO:1904896 ESCRT complex disassembly,,Predicted intracellular proteins,Cytosol (Approved); Additional: Nucleoplasm;Plasma membrane,,,
ENSG00000064490.14,RFXANK,0.613771512,1.385674706,0.483249032,0.741857829,0.407499592,0.865250767,0.592238566,0.780682174,0.501353111,0.874739916,0.375427119,0.795388979,0.65563914,0.352477871,1.139028635,0.632367904,0.696065627,0.577694612,0.107059264,0.149941966,0.161793439,regulatory factor X associated ankyrin containing protein,"The RFXANK gene encodes a protein that, along with other regulatory factors, activates the transcription of certain major histocompatibility (MHC) class II genes that play a central role in the immune system. This protein contains ankyrin repeats that are involved in protein-protein interactions. Mutations in this gene have been linked to bare lymphocyte syndrome type II, complementation group B. Multiple alternatively spliced transcript variants encoding different isoforms have been described for this gene.","Bare lymphocyte syndrome type II, complementation group B is a rare autosomal recessive disorder caused by mutations in the RFXANK gene. This disorder is characterized by a deficiency in MHC class II expression, leading to impaired immune responses and increased susceptibility to infections. There are currently no targeted drug discovery efforts for this specific disorder, but there are drugs on the market that target the immune system and may be used to treat related conditions. For example, immunomodulatory drugs such as interferon-gamma and interleukin-2 have been used to boost immune responses in patients with certain types of cancer and autoimmune disorders. Additionally, monoclonal antibodies such as rituximab and infliximab have been used to target specific immune cells and cytokines involved in inflammatory responses. While these drugs are not specific to the RFXANK gene or bare lymphocyte syndrome type II, they may be used to treat related conditions and improve immune function in affected individuals.",GO:0045348 positive regulation of MHC class II biosynthetic process;GO:0045346 regulation of MHC class II biosynthetic process;GO:0007265 Ras protein signal transduction,,Disease related genes; Human disease related genes:Immune system diseases:Primary immunodeficiency; Predicted intracellular proteins; Transcription factors:Yet undefined DNA-binding domains,Nucleoplasm (Enhanced),,(M30)PID HDAC CLASSII PATHWAY,
ENSG00000130165.10,ELOF1,0.61535738,0.883277528,0.627661883,0.785842849,0.885831666,0.960616981,0.54889386,0.533917468,0.848841989,0.469474426,0.922224708,0.659997806,0.768137965,0.297443755,0.854620561,0.604020423,0.058441261,0.572753537,0.339835391,0.360812923,0.324500615,elongation factor 1,ELOF1 is a human gene that is predicted to be involved in the maintenance of chromatin in a transcription-competent conformation and in transcription elongation from RNA polymerase II promoter. It is also predicted to enable RNA polymerase II complex binding activity and to be located in the nucleus. ELOF1 is believed to be part of the transcription elongation factor complex.,"There is limited information available on the disease implications of ELOF1. However, recent studies have suggested that ELOF1 may play a role in the development of certain types of cancer, including breast cancer and leukemia. Targeted drug discovery efforts for ELOF1 are still in the early stages, but there is potential for the development of drugs that target the transcription elongation factor complex, of which ELOF1 is a part. One example of a successful drug that targets transcription elongation is JQ1, which inhibits the activity of the BET family of proteins and has shown promise in the treatment of certain types of cancer. However, further research is needed to determine the potential of ELOF1 as a therapeutic target and to identify specific drugs that could be developed to target this gene.",GO:0006368 transcription elongation by RNA polymerase II;GO:0006354 DNA-templated transcription elongation;GO:0006366 transcription by RNA polymerase II,,Predicted intracellular proteins,Cytosol (Approved),,,
ENSG00000130305.17,NSUN5,0.61677773,1.198771779,0.840015712,0.776069292,0.746037648,0.938277791,0.862484929,0.501442147,1.145956009,0.708195056,0.741255362,0.071249998,0.808835677,0.38552769,0.334804591,0.740050061,0.37916461,0.406966867,0.174362524,0.261749775,0.314337081,NOP2/Sun RNA methyltransferase 5,"NSUN5 is a gene that encodes a protein that may function as a methyltransferase. It is part of a larger region on chromosome 7 that is deleted in Williams-Beuren syndrome, a developmental disorder. There are also two pseudogenes for this gene located in the same region. Alternative splicing results in multiple transcript variants that encode different isoforms of the protein.","There is limited information available on the disease implications of NSUN5. However, its location within the Williams-Beuren syndrome critical region suggests that it may play a role in the development of this disorder. Targeted drug discovery efforts for NSUN5 are also limited, as its function and potential therapeutic targets are not well understood. Currently, there are no drugs on the market that specifically target NSUN5. However, there are drugs that target other methyltransferases, such as EZH2 inhibitors used in the treatment of certain cancers. Further research is needed to fully understand the role of NSUN5 in disease and to identify potential therapeutic targets.",GO:0070475 rRNA base methylation;GO:0031167 rRNA methylation;GO:0022038 corpus callosum development,,Disease related genes; Human disease related genes:Other congenital disorders:Chromosomal abnormalities; Predicted intracellular proteins,Nucleoli;Nucleoplasm (Enhanced),,,
ENSG00000139546.11,TARBP2,0.617432043,0.874942977,0.948229589,0.547543302,0.486336935,0.941568189,0.620339497,0.40042466,1.045196403,0.7705388,0.19365255,1.057385558,0.543809806,0.235721919,0.972734829,0.648268701,0.291139339,0.481039983,0.427987106,0.530346991,0.331433724,TARBP2 subunit of RISC loading complex,"TARBP2 is a gene that encodes a protein subunit of the RISC loading complex, which is involved in RNA interference. The protein encoded by TARBP2 also plays a role in activating HIV-1 gene expression in conjunction with the viral Tat protein. This is achieved through binding to the TAR RNA regulatory element downstream of the transcription initiation site. Alternative splicing of TARBP2 results in multiple isoforms. The gene also has a pseudogene.","There is limited information on the disease implications of TARBP2. However, some studies have suggested that dysregulation of TARBP2 expression may be involved in the development of certain cancers, including breast cancer and hepatocellular carcinoma. Targeted drug discovery efforts for TARBP2 are also limited, but some studies have explored the potential of small molecule inhibitors of the RISC loading complex as a therapeutic strategy for cancer. Currently, there are no drugs on the market that specifically target TARBP2. However, there are several drugs that target the RNA interference pathway, including RNAi-based therapies for genetic disorders and cancer, such as patisiran and givosiran. These drugs utilize small interfering RNAs (siRNAs) to target specific genes and reduce their expression.",GO:0070921 regulation of siRNA processing;GO:0098795 global gene silencing by mRNA cleavage;GO:0050689 negative regulation of defense response to virus by host,,Predicted intracellular proteins,Nucleoplasm (Supported); Additional: Nuclear bodies,,,(M5898)HALLMARK DNA REPAIR
ENSG00000205138.4,SDHAF1,0.622751818,1.412382186,1.142234066,1.071008093,0.621027609,0.469343327,0.871525938,0.688661109,0.504029473,0.664325229,0.768360088,0.906677228,0.521618685,0.547627562,0.250034229,0.496004535,0.539342518,0.360614448,0.151162788,0.058377595,0.410679645,succinate dehydrogenase complex assembly factor 1,"SDHAF1 is a gene that encodes a protein essential for the assembly of the succinate dehydrogenase (SDH) complex, also known as complex II, in the mitochondria. Although it does not physically associate with the complex in vivo, mutations in this gene have been linked to SDH-defective infantile leukoencephalopathy, a condition characterized by mitochondrial complex II deficiency. The SDH complex is a crucial component of the mitochondrial respiratory chain, and is composed of four individual subunits. The function of SDHAF1 is to ensure proper assembly of the complex, which is necessary for the proper functioning of the respiratory chain and cellular energy production.","SDHAF1 mutations have been linked to SDH-defective infantile leukoencephalopathy, a rare and severe mitochondrial disorder that affects the brain and nervous system. Patients with this condition typically present with developmental delay, seizures, hypotonia, and leukodystrophy, a condition in which the white matter of the brain is damaged. There are currently no targeted drug discovery efforts for SDHAF1 mutations specifically, but there are ongoing efforts to develop treatments for mitochondrial disorders in general. One example is elamipretide, a mitochondrial-targeted peptide that has shown promise in preclinical studies for the treatment of mitochondrial diseases. Another example is idebenone, a synthetic analog of coenzyme Q10 that has been approved for the treatment of Leber's hereditary optic neuropathy, a mitochondrial disorder that affects the eyes. However, there are currently no drugs on the market specifically targeting SDHAF1 mutations.",GO:0034552 respiratory chain complex II assembly;GO:0034553 mitochondrial respiratory chain complex II assembly;GO:0033108 mitochondrial respiratory chain complex assembly,,Disease related genes; Predicted intracellular proteins; Human disease related genes:Congenital disorders of metabolism:Mitochondrial diseases,Mitochondria (Supported),,,
ENSG00000110711.10,AIP,0.624770428,1.336535286,0.99283583,0.710284288,0.819100509,1.160205884,0.741521908,0.43787591,0.50562795,0.569641562,0.803605883,0.827119826,0.707936736,0.481618994,0.084688585,0.620827223,0.43524802,0.536406957,0.243900672,0.140384482,0.340042056,aryl hydrocarbon receptor interacting protein,"The AIP gene encodes a protein that acts as a receptor for aryl hydrocarbons and a transcription factor that is activated by ligands. The protein is initially located in the cytoplasm as part of a complex, but upon binding of a ligand, it is transported to the nucleus. The protein can regulate the expression of many enzymes involved in metabolizing foreign substances. Additionally, the protein can bind specifically to and inhibit the activity of hepatitis B virus. There are three different isoforms of the protein that are encoded by different transcript variants of the AIP gene.","Mutations in the AIP gene have been linked to a rare genetic disorder called familial isolated pituitary adenoma (FIPA), which is characterized by the development of benign tumors in the pituitary gland. These tumors can cause hormonal imbalances and lead to symptoms such as headaches, vision problems, and infertility. Targeted drug discovery efforts have focused on developing drugs that can inhibit the activity of the AIP protein and prevent the growth of pituitary tumors. One example of a successful drug on the market is pasireotide, which is a somatostatin analog that binds to the somatostatin receptor and inhibits the secretion of growth hormone. Pasireotide has been shown to be effective in treating patients with acromegaly, a condition caused by excess growth hormone secretion from pituitary tumors. Other drugs that target the AIP pathway are currently in development and may provide new treatment options for patients with FIPA and other pituitary disorders.",GO:0022417 protein maturation by protein folding;GO:0010738 regulation of protein kinase A signaling;GO:0006626 protein targeting to mitochondrion,,Disease related genes; Human disease related genes:Endocrine and metabolic diseases:Hypothalamus and pituitary gland diseases; Human disease related genes:Endocrine and metabolic diseases:Adrenal gland diseases; Predicted intracellular proteins,Cytosol (Supported),,,
ENSG00000104522.16,GFUS,0.627291385,1.140855306,0.795219209,1.023926253,0.410125308,0.875535334,0.574084778,0.44053875,0.760409033,0.566936895,0.221014976,1.157043924,0.551851445,0.506245154,0.234719396,0.677934539,0.128952857,0.468592378,0.28657441,1.039797716,0.685470049,GDP-L-fucose synthase,"GFUS, also known as GDP-L-fucose synthase, is a gene that encodes for an enzyme involved in the metabolism of GDP-D-mannose. The enzyme catalyzes the conversion of GDP-4-keto-6-D-deoxymannose to GDP-L-fucose, which is a substrate for fucosyltransferases that are involved in the expression of various glycoconjugates, including blood group ABH antigens and developmental adhesion antigens. Mutations in this gene have been linked to leukocyte adhesion deficiency, type II. The protein encoded by GFUS is also known as tissue-specific transplantation antigen P35B and is a NADP(H)-binding protein.","Mutations in the GFUS gene have been linked to leukocyte adhesion deficiency, type II, which is a rare autosomal recessive disorder characterized by recurrent bacterial infections, delayed wound healing, and impaired leukocyte adhesion and migration. There are currently no targeted drug discovery efforts specifically for GFUS, but there are drugs on the market that target fucosylation, which is the process that GFUS is involved in. For example, the drug L-fucose is used to treat some types of cancer by inhibiting fucosylation and reducing tumor growth. Another drug, L-fucose-1-phosphate, has been shown to improve the symptoms of leukocyte adhesion deficiency, type II in some patients by increasing fucosylation. However, these drugs are not specific to GFUS and may have off-target effects. Further research is needed to develop targeted therapies for GFUS-related diseases.",GO:0042351 'de novo' GDP-L-fucose biosynthetic process;GO:0042350 GDP-L-fucose biosynthetic process;GO:1904906 positive regulation of endothelial cell-matrix adhesion via fibronectin,,Enzymes; ENZYME proteins:Oxidoreductases; Predicted intracellular proteins,Cytosol (Approved); Additional: Nucleoplasm,NADH,,(M5907)HALLMARK ESTROGEN RESPONSE LATE; (M5937)HALLMARK GLYCOLYSIS
ENSG00000159377.11,PSMB4,0.637876312,0.754072286,1.127150186,1.121703836,0.334744714,0.43087221,0.553243775,0.673458533,0.548364194,0.46897862,0.702865293,0.598426336,0.698406669,0.931740972,1.303632623,0.272865019,0.366381076,0.767934491,0.340203916,0.318955162,0.443526323,proteasome 20S subunit beta 4,"PSMB4 is a gene that encodes a subunit of the proteasome, a protein complex that breaks down other proteins in a non-lysosomal pathway. The proteasome is composed of four rings of 28 non-identical subunits, with two rings made up of seven alpha subunits and two rings made up of seven beta subunits. PSMB4 is a member of the proteasome B-type family, also known as the T1B family, and is a 20S core beta subunit. The modified proteasome, known as the immunoproteasome, is essential for processing class I MHC peptides. PSMB4 is distributed throughout eukaryotic cells at a high concentration and plays a crucial role in the degradation of proteins.","PSMB4 has been implicated in various diseases, including cancer, neurodegenerative disorders, and autoimmune diseases. In cancer, the proteasome is overactive, leading to the degradation of tumor suppressor proteins and the accumulation of oncogenic proteins. Therefore, proteasome inhibitors have been developed as a potential treatment for cancer. Bortezomib, a proteasome inhibitor that targets PSMB5, has been approved for the treatment of multiple myeloma and mantle cell lymphoma. However, its use is limited by toxicity and drug resistance. Therefore, there is ongoing research to develop more selective and effective proteasome inhibitors, including those that target PSMB4. In addition, PSMB4 has been identified as a potential therapeutic target for neurodegenerative disorders, such as Alzheimer's disease and Parkinson's disease, as well as autoimmune diseases, such as rheumatoid arthritis. However, there are currently no drugs on the market that specifically target PSMB4.",GO:0002862 negative regulation of inflammatory response to antigenic stimulus;GO:0002861 regulation of inflammatory response to antigenic stimulus;GO:0050728 negative regulation of inflammatory response,,Predicted intracellular proteins; Human disease related genes:Immune system diseases:Other immune system diseases; Peptidases:Threonine-type peptidases; Potential drug targets; Disease related genes; Enzymes,Nucleoplasm (Supported); Additional: Mitochondria,"(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE",,
ENSG00000163479.14,SSR2,0.638956248,1.138067912,0.928320405,0.878347263,0.478046227,1.485785884,0.591623151,0.917765923,0.338440198,1.079709122,0.907567279,0.476415187,0.312877592,0.687566176,0.183106939,0.292019146,0.566953252,0.784097172,0.479893519,0.03643578,0.216086838,signal sequence receptor subunit 2,"SSR2, also known as beta-signal sequence receptor, is a gene that encodes for a 22-kD glycoprotein subunit of the signal sequence receptor (SSR). The SSR is a receptor found in the endoplasmic reticulum (ER) membrane that is involved in the translocation of proteins across the ER membrane. The SSR is composed of two subunits, alpha-SSR (or SSR1) and beta-SSR (or SSR2). SSR2 is located on chromosome bands 1q21-q23 in humans.","There is limited information available on the disease implications of SSR2. However, some studies have suggested that mutations in the SSR2 gene may be associated with certain types of cancer, such as breast cancer and lung cancer. Targeted drug discovery efforts for SSR2 are also limited, as the function of the protein is not fully understood. However, some studies have suggested that SSR2 may be a potential target for cancer therapy. One example of a successful drug on the market that targets the ER membrane is tamoxifen, which is used to treat breast cancer by blocking the estrogen receptor. However, it is not known if tamoxifen directly targets SSR2 or other proteins in the ER membrane. Further research is needed to fully understand the role of SSR2 in disease and to develop targeted therapies.",GO:0006613 cotranslational protein targeting to membrane;GO:0006612 protein targeting to membrane;GO:0090150 establishment of protein localization to membrane,,Transporters:Accessory Factors Involved in Transport; Predicted intracellular proteins,,,,
ENSG00000129559.13,NEDD8,0.641824982,1.174423448,1.302139327,0.770902395,1.071302388,0.510566302,0.983048476,0.7594493,0.784849089,0.83745064,0.34092422,0.551976714,0.323564722,0.895782491,0.277333342,0.618157596,0.323400392,0.50651493,0.311159361,0.223082042,0.270472468,NEDD8 ubiquitin like modifier,"NEDD8 is a human gene that encodes for a protein called NEDD8 ubiquitin-like modifier. This protein enables the binding activity of ubiquitin protein ligase and is involved in protein neddylation, a process that modifies proteins by adding NEDD8 to them. NEDD8 is located in both the cytosol and nucleoplasm of cells. It is also a biomarker for Parkinson's disease and malignant astrocytoma, two conditions that affect the nervous system.","NEDD8 has been implicated in several diseases, including cancer and neurodegenerative disorders. In cancer, NEDD8 is overexpressed and promotes tumor growth and metastasis. Therefore, targeting NEDD8 has become a promising strategy for cancer therapy. Several drugs have been developed to inhibit NEDD8, including pevonedistat and MLN4924. Pevonedistat has shown promising results in clinical trials for acute myeloid leukemia and multiple myeloma. MLN4924 has also shown efficacy in preclinical studies for various types of cancer. In neurodegenerative disorders, NEDD8 has been found to be involved in the formation of protein aggregates, which are a hallmark of these diseases. However, there are currently no drugs targeting NEDD8 for the treatment of neurodegenerative disorders. Overall, targeting NEDD8 has shown promise as a therapeutic strategy for cancer, and further research is needed to explore its potential in other diseases.",GO:0045116 protein neddylation;GO:0150052 regulation of postsynapse assembly;GO:0099175 regulation of postsynapse organization,,Predicted intracellular proteins; Cancer-related genes:Candidate cancer biomarkers,Nucleoplasm (Enhanced); Additional: Cytosol,,(M119)PID ERB GENOMIC PATHWAY; (M261)PID P53 REGULATION PATHWAY; (M200)PID ERA GENOMIC PATHWAY,
ENSG00000134825.16,TMEM258,0.643641697,0.983042836,1.015264009,1.109553079,0.764766956,1.01579353,0.562045427,0.455612168,0.694090233,0.651545523,0.78820651,0.655541891,0.279076403,0.611252963,0.417217294,0.623890497,0.783761398,0.563031583,0.520731473,0.008292441,0.370117731,transmembrane protein 258,"TMEM258 is a human gene that encodes for a transmembrane protein involved in protein N-linked glycosylation. It is located in the endoplasmic reticulum and is part of the oligosaccharyltransferase I complex. This complex is responsible for adding sugar molecules to proteins, which is important for their proper folding and function. TMEM258 plays a crucial role in this process and is therefore essential for the proper functioning of many proteins in the body.","There is limited information available on the disease implications of TMEM258 mutations. However, recent studies have suggested that mutations in this gene may be associated with developmental disorders and intellectual disability. Targeted drug discovery efforts for TMEM258 are also limited, as the function of this gene is not well understood. However, there are ongoing efforts to develop drugs that target the oligosaccharyltransferase I complex, of which TMEM258 is a part. One example of a successful drug targeting this complex is tunicamycin, which is used as an antibiotic and antifungal agent. However, tunicamycin is not suitable for use in humans due to its toxicity. Other potential drug targets in this complex include STT3A and STT3B, which are also involved in protein N-linked glycosylation.",GO:1904019 epithelial cell apoptotic process;GO:0006487 protein N-linked glycosylation;GO:0006486 protein glycosylation,,Transporters,Cytosol (Approved); Additional: Plasma membrane,,,
ENSG00000126254.12,RBM42,0.645786989,1.342507435,0.763740258,0.93431239,0.746974413,0.650380691,0.789498722,0.621755378,0.774443342,0.909490818,0.636991039,0.214634984,0.915025481,0.718619187,0.350286039,0.851891765,0.701171985,0.336319503,0.102999509,0.22271826,0.331978586,RNA binding motif protein 42,"RBM42 is a human gene that encodes for RNA binding motif protein 42, which is responsible for enabling RNA binding activity. It is predicted to play a role in negative regulation of mRNA splicing, specifically upstream of or within the spliceosome. The protein is predicted to be located in both the cytoplasm and nucleus and is expected to be part of a ribonucleoprotein complex. This information is provided by the Alliance of Genome Resources as of April 2022.","There is limited information available on the disease implications of RBM42. However, some studies have suggested that mutations in this gene may be associated with certain types of cancer, including breast cancer and lung adenocarcinoma. Targeted drug discovery efforts for RBM42 are also limited, as the function of this gene is not well understood. However, some studies have suggested that targeting RNA binding proteins, such as RBM42, may be a promising approach for cancer therapy. Currently, there are no drugs on the market that specifically target RBM42. However, there are several drugs that target RNA binding proteins more broadly, such as the splicing modulator E7107, which is currently in clinical trials for the treatment of solid tumors. Overall, further research is needed to fully understand the disease implications of RBM42 and to develop targeted therapies for diseases associated with this gene.","GO:0048025 negative regulation of mRNA splicing, via spliceosome;GO:0050686 negative regulation of mRNA processing;GO:0033119 negative regulation of RNA splicing",,Predicted intracellular proteins,Nucleoplasm (Approved); Additional: Cytosol,,,
ENSG00000099804.9,CDC34,0.648778127,0.66015825,0.93190176,1.091535362,0.948347021,0.949104205,0.908745905,0.611501044,0.574025225,0.755342926,0.830884775,0.863028019,0.472543445,0.216204905,1.005871841,0.648572759,0.265557818,0.622450661,0.201835357,0.189116456,0.228834799,"cell division cycle 34, ubiqiutin conjugating enzyme","CDC34 is a gene that encodes a protein belonging to the ubiquitin-conjugating enzyme family. This protein is involved in the covalent attachment of ubiquitin to other proteins, which is necessary for the degradation of cell cycle G1 regulators and the initiation of DNA replication. CDC34 is part of a large multiprotein complex that is required for these processes.","CDC34 has been implicated in various diseases, including cancer and neurodegenerative disorders. In cancer, CDC34 is overexpressed in many types of tumors, and its inhibition has been shown to reduce tumor growth and sensitize cancer cells to chemotherapy. Therefore, CDC34 is considered a potential target for cancer therapy. Several small molecule inhibitors of CDC34 have been developed, including CC0651 and CC0652, which have shown promising results in preclinical studies.

In neurodegenerative disorders, CDC34 has been linked to the accumulation of toxic proteins, such as alpha-synuclein in Parkinson's disease and tau in Alzheimer's disease. Inhibition of CDC34 has been shown to reduce the accumulation of these proteins and improve neuronal function in animal models of these diseases. However, there are currently no drugs targeting CDC34 for the treatment of neurodegenerative disorders.

One example of a successful drug targeting the ubiquitin-proteasome system, of which CDC34 is a part, is bortezomib, which is used to treat multiple myeloma and mantle cell lymphoma. Bortezomib inhibits the proteasome, leading to the accumulation of misfolded proteins and ultimately cell death. Another example is carfilzomib, a second-generation proteasome inhibitor that is used to treat multiple myeloma. These drugs have shown significant clinical benefits, highlighting the potential of targeting the ubiquitin-proteasome system for the treatment of various diseases.",GO:0090261 positive regulation of inclusion body assembly;GO:0090083 regulation of inclusion body assembly;GO:0006270 DNA replication initiation,,Enzymes; ENZYME proteins:Transferases; Predicted intracellular proteins; Cancer-related genes:Candidate cancer biomarkers,Nuclear speckles;Nucleoplasm (Supported); Additional: Cytosol,,,(M5941)HALLMARK UV RESPONSE UP
ENSG00000124562.10,SNRPC,0.649454948,1.188209899,1.229997166,1.269492119,0.832460026,0.746722803,0.398137062,0.696677554,0.50068819,0.927885455,0.333472833,0.696102067,0.746294203,0.985449974,0.542939891,0.117694241,0.666788158,0.380917945,0.168617046,0.174413206,0.386139117,small nuclear ribonucleoprotein polypeptide C,"The SNRPC gene encodes a protein component of the U1 small nuclear ribonucleoprotein (snRNP) particle, which is essential for the formation of the spliceosome and the processing of nuclear precursor messenger RNA splicing. This gene has several pseudogenes, and alternative splicing results in a non-coding transcript variant. Autoantibodies frequently attack snRNP particles, which are produced by patients with connective tissue diseases.","Mutations in the SNRPC gene have been associated with several diseases, including spinal muscular atrophy (SMA) and amyotrophic lateral sclerosis (ALS). SMA is a genetic disorder that affects the motor neurons in the spinal cord, leading to muscle weakness and atrophy. Several drugs have been developed to treat SMA, including nusinersen, which targets the SMN2 gene, and onasemnogene abeparvovec, which delivers a functional copy of the SMN1 gene. ALS is a neurodegenerative disease that affects the motor neurons in the brain and spinal cord, leading to muscle weakness and paralysis. There are currently no drugs that can cure or halt the progression of ALS, but several drugs have been approved to treat its symptoms, including riluzole and edaravone. Targeted drug discovery efforts for SNRPC are ongoing, with the aim of developing new therapies for SMA and ALS.","GO:0000395 mRNA 5'-splice site recognition;GO:0045292 mRNA cis splicing, via spliceosome;GO:0006376 mRNA splice site recognition",,Predicted intracellular proteins,Nucleoplasm (Enhanced),,,
